"Num_Acc","num_veh","id_usa","date","ville","id_code_insee","latitude","longitude","descr_cat_veh","descr_agglo","descr_athmo","descr_lum","descr_etat_surf","description_intersection","an_nais","age","place","descr_dispo_secu","descr_grav","descr_motif_traj","descr_type_col"
200900003274,"A01",750582,"2009-04-30 18:30:00","PARIS 15","75115",48.8412,2.3002,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1982","41","1","Utilisation d'une ceinture de sécurité ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900000170,"A01",744260,"2009-01-01 18:50:00","PARIS 18","75118",48.8925,2.3444,"Cyclomoteur <50cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Mouillée","Hors intersection","1988","35","2","Utilisation d'un casque ","Blessé hospitalisé","Promenade – loisirs","Deux véhicules - Frontale"
200900001805,"B01",747528,"2009-03-17 20:30:00","PARIS 15","75115",48.8412,2.3002,"Motocyclette > 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1966","57","1","Présence d'un casque - Utilisation non déterminable","Blessé hospitalisé","Domicile – travail","Deux véhicules - Frontale"
200900000141,"B01",744199,"2009-01-27 13:15:00","PARIS 18","75118",48.8925,2.3444,"Cyclomoteur <50cm3","En agglomération","Normale","Plein jour","Normale","Intersection en X","1990","33","1","Utilisation d'un casque ","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900000170,"A01",744261,"2009-01-01 18:50:00","PARIS 18","75118",48.8925,2.3444,"Cyclomoteur <50cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Mouillée","Hors intersection","1981","42","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900000228,"A01",744363,"2009-01-12 17:40:00","PARIS 12","75112",48.8352,2.4458,"Motocyclette > 125 cm3","En agglomération","Normale","Crépuscule ou aube","Mouillée","Intersection en Y","1982","41","1","Utilisation d'un casque ","Blessé léger","Autre","Deux véhicules - Frontale"
200900000228,"B01",744364,"2009-01-12 17:40:00","PARIS 12","75112",48.8352,2.4458,"Bicyclette","En agglomération","Normale","Crépuscule ou aube","Mouillée","Intersection en Y","1942","81","1","Présence d'un casque - Utilisation non déterminable","Blessé léger","Courses – achats","Deux véhicules - Frontale"
200900000250,"A01",744407,"2009-01-11 09:50:00","PARIS 12","75112",48.8352,2.4458,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1979","44","1","Utilisation d'une ceinture de sécurité ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900000357,"A01",744626,"2009-01-08 08:40:00","PARIS 14","75114",48.8296,2.3267,"Scooter > 50 cm3 et <= 125 cm3","En agglomération","Normale","Plein jour","Normale","Hors intersection","1975","48","1","Utilisation d'un casque ","Blessé léger","Domicile – travail","Deux véhicules - Frontale"
200900000357,"B01",744627,"2009-01-08 08:40:00","PARIS 14","75114",48.8296,2.3267,"Scooter > 50 cm3 et <= 125 cm3","En agglomération","Normale","Plein jour","Normale","Hors intersection","1980","43","1","Utilisation d'un casque ","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900000391,"B01",744699,"2009-01-10 09:25:00","PARIS 10","75110",48.8761,2.3602,"Bicyclette","En agglomération","Normale","Plein jour","Normale","Hors intersection","1971","52","1","Présence d'un casque - Utilisation non déterminable","Blessé léger","Courses – achats","Deux véhicules - Frontale"
200900000436,"A01",744778,"2009-01-11 21:10:00","PARIS 12","75112",48.8352,2.4458,"Scooter < 50 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1984","39","1","Présence d'un casque - Utilisation non déterminable","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900000499,"A01",744904,"2009-01-09 16:45:00","PARIS 13","75113",48.8283,2.3627,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1969","54","1","Utilisation d'une ceinture de sécurité ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900000511,"B01",744926,"2009-01-01 11:05:00","PARIS 19","75119",48.8817,2.3834,"VL seul","En agglomération","Temps couvert","Plein jour","Mouillée","Intersection à plus de 4 branches","1960","63","1","Utilisation d'une ceinture de sécurité ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900000660,"A01",745247,"2009-02-04 08:30:00","PARIS 12","75112",48.8352,2.4458,"Motocyclette > 125 cm3","En agglomération","Autre","Plein jour","Autre","Intersection en Y","1979","44","1","Utilisation d'un casque ","Blessé léger","Domicile – travail","Deux véhicules - Frontale"
200900000679,"A01",745283,"2009-02-04 19:50:00","PARIS 20","75120",48.8632,2.4001,"Scooter < 50 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Mouillée","Intersection à plus de 4 branches","1983","40","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900000694,"A01",745309,"2009-02-05 14:45:00","PARIS 06","75106",48.8493,2.3324,"Cyclomoteur <50cm3","En agglomération","Temps couvert","Plein jour","Mouillée","Intersection en T","1982","41","1","Utilisation d'un casque ","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900001014,"B01",745928,"2009-02-24 00:15:00","PARIS 03","75103",48.8637,2.359,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1980","43","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900001448,"B01",746825,"2009-03-06 12:30:00","PARIS 20","75120",48.8632,2.4001,"Motocyclette > 125 cm3","En agglomération","Normale","Plein jour","Normale","Intersection en Y","1973","50","5","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900001448,"B01",746826,"2009-03-06 12:30:00","PARIS 20","75120",48.8632,2.4001,"Motocyclette > 125 cm3","En agglomération","Normale","Plein jour","Normale","Intersection en Y","1975","48","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900001459,"A01",746850,"2009-03-31 16:25:00","PARIS 20","75120",48.8632,2.4001,"Scooter < 50 cm3","En agglomération","Normale","Plein jour","Normale","Hors intersection","1992","31","1","Présence d'un casque - Utilisation non déterminable","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900001979,"A01",747874,"2009-03-26 18:05:00","PARIS 20","75120",48.8632,2.4001,"Scooter < 50 cm3","En agglomération","Normale","Plein jour","Normale","Intersection en X","1989","34","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900002746,"A01",749517,"2009-04-07 09:35:00","PARIS 20","75120",48.8632,2.4001,"Scooter < 50 cm3","En agglomération","Pluie légère","Plein jour","Mouillée","Hors intersection","1984","39","1","Utilisation d'un casque ","Blessé léger","Domicile – travail","Deux véhicules - Frontale"
200900002771,"B01",749564,"2009-04-07 20:45:00","PARIS 09","75109",48.876,2.3375,"Scooter > 50 cm3 et <= 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1979","44","1","Utilisation d'un casque ","Blessé léger","Domicile – travail","Deux véhicules - Frontale"
200900002855,"B01",749738,"2009-04-11 21:25:00","PARIS 19","75119",48.8817,2.3834,"VL seul","En agglomération","Pluie légère","Nuit avec éclairage public allumé","Mouillée","Hors intersection","1972","51","2","Utilisation d'une ceinture de sécurité ","Blessé léger","Autre","Deux véhicules - Frontale"
200900003132,"A01",750282,"2009-04-24 01:40:00","PARIS 17","75117",48.8872,2.3075,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1978","45","1","Utilisation d'une ceinture de sécurité ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900003274,"B01",750581,"2009-04-30 18:30:00","PARIS 15","75115",48.8412,2.3002,"Motocyclette > 125 cm3","En agglomération","Normale","Plein jour","Normale","Intersection en X","1971","52","1","Utilisation d'un casque ","Blessé léger","Domicile – travail","Deux véhicules - Frontale"
200900005543,"A01",755767,"2009-05-28 10:03:00","PARIS 04","75104",48.8566,2.3522,"VL seul","En agglomération","Temps couvert","Plein jour","Normale","Intersection en T","1945","78","1","Utilisation d'une ceinture de sécurité ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900005544,"A01",755769,"2009-05-28 10:25:00","PARIS 07","75107",48.8567,2.3208,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1924","99","1","Utilisation d'une ceinture de sécurité ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900005616,"B01",755908,"2009-05-14 22:15:00","PARIS 03","75103",48.8637,2.359,"VL seul","En agglomération","Autre","Nuit avec éclairage public allumé","Mouillée","Intersection en T","1943","80","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900005639,"A01",755960,"2009-05-17 18:31:00","PARIS 10","75110",48.8761,2.3602,"Scooter > 125 cm3","En agglomération","Normale","Plein jour","Normale","Hors intersection","1983","40","1","Utilisation d'un casque ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900005690,"B01",756062,"2009-05-16 02:04:00","PARIS 08","75108",48.8722,2.3124,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1961","62","1","Utilisation d'une ceinture de sécurité ","Indemne","Autre","Deux véhicules - Frontale"
200900005731,"A01",756156,"2009-05-24 20:20:00","PARIS 07","75107",48.8567,2.3208,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1978","45","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900005780,"A01",756260,"2009-05-29 23:55:00","PARIS 06","75106",48.8493,2.3324,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1976","47","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900005912,"A01",756524,"2009-05-01 02:27:00","PARIS 18","75118",48.8925,2.3444,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1980","43","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900005984,"A01",756677,"2009-05-07 14:00:00","PARIS 17","75117",48.8872,2.3075,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1962","61","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900005455,"A01",755582,"2009-05-25 07:33:00","PARIS 12","75112",48.8352,2.4458,"Bicyclette","En agglomération","Normale","Plein jour","Normale","Hors intersection","1974","49","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900005455,"B01",755583,"2009-05-25 07:33:00","PARIS 12","75112",48.8352,2.4458,"Bicyclette","En agglomération","Normale","Plein jour","Normale","Hors intersection","1961","62","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900005543,"B01",755766,"2009-05-28 10:03:00","PARIS 04","75104",48.8566,2.3522,"Cyclomoteur <50cm3","En agglomération","Temps couvert","Plein jour","Normale","Intersection en T","1973","50","1","Utilisation d'un casque ","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900005544,"B01",755768,"2009-05-28 10:25:00","PARIS 07","75107",48.8567,2.3208,"Cyclomoteur <50cm3","En agglomération","Normale","Plein jour","Normale","Hors intersection","1984","39","1","Utilisation d'un casque ","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900005614,"B01",755903,"2009-05-14 19:55:00","PARIS 10","75110",48.8761,2.3602,"Bicyclette","En agglomération","Pluie légère","Plein jour","Mouillée","Hors intersection","1994","29","1","Présence d'un casque - Utilisation non déterminable","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900005639,"B01",755959,"2009-05-17 18:31:00","PARIS 10","75110",48.8761,2.3602,"Bicyclette","En agglomération","Normale","Plein jour","Normale","Hors intersection","1997","26","1","Présence d'un casque - Utilisation non déterminable","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900005690,"A01",756063,"2009-05-16 02:04:00","PARIS 08","75108",48.8722,2.3124,"Cyclomoteur <50cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1986","37","1","Utilisation d'un casque ","Blessé léger","Autre","Deux véhicules - Frontale"
200900005912,"A01",756525,"2009-05-01 02:27:00","PARIS 18","75118",48.8925,2.3444,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1988","35","3","Présence d'une ceinture de sécurité - Utilisation non déterminable","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900005912,"A01",756526,"2009-05-01 02:27:00","PARIS 18","75118",48.8925,2.3444,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1988","35","2","Présence d'une ceinture de sécurité - Utilisation non déterminable","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900005912,"A01",756527,"2009-05-01 02:27:00","PARIS 18","75118",48.8925,2.3444,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1986","37","4","Présence d'une ceinture de sécurité - Utilisation non déterminable","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900005984,"B01",756676,"2009-05-07 14:00:00","PARIS 17","75117",48.8872,2.3075,"Scooter < 50 cm3","En agglomération","Normale","Plein jour","Normale","Hors intersection","1977","46","1","Utilisation d'un casque ","Blessé léger","Utilisation professionnelle","Deux véhicules - Frontale"
200900008862,"B01",763219,"2009-06-05 06:30:00","PARIS 08","75108",48.8722,2.3124,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1952","71","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900008982,"B01",763460,"2009-06-11 15:15:00","PARIS 02","75102",48.8691,2.3473,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1956","67","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900009155,"B01",763812,"2009-06-18 15:15:00","PARIS 09","75109",48.876,2.3375,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1975","48","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009185,"A01",763871,"2009-06-19 22:10:00","PARIS 11","75111",48.8584,2.3795,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1951","72","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009211,"A01",763917,"2009-06-20 20:10:00","PARIS 13","75113",48.8283,2.3627,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1959","64","1","Utilisation d'une ceinture de sécurité ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900009259,"A01",764011,"2009-06-23 08:00:00","PARIS 11","75111",48.8584,2.3795,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1945","78","1","Autre - Non déterminable","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900009285,"A01",764061,"2009-06-23 23:15:00","PARIS 14","75114",48.8296,2.3267,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1964","59","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009292,"A01",764074,"2009-06-24 10:10:00","PARIS 03","75103",48.8637,2.359,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1972","51","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009312,"B01",764112,"2009-06-24 18:50:00","PARIS 16","75116",48.86,2.262,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1984","39","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900009321,"A01",764132,"2009-06-25 09:15:00","PARIS 12","75112",48.8352,2.4458,"VU seul 1,5T <= PTAC <= 3,5T avec ou sans remorque ","En agglomération","Normale","Plein jour","Normale","Intersection en T","1978","45","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009325,"A01",764138,"2009-06-25 00:45:00","PARIS 12","75112",48.8352,2.4458,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1949","74","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009366,"A01",764225,"2009-06-26 15:25:00","PARIS 17","75117",48.8872,2.3075,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1975","48","1","Présence de ceinture de sécurité non utilisée ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900009376,"B01",764247,"2009-06-27 00:20:00","PARIS 11","75111",48.8584,2.3795,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1989","34","1","Utilisation d'une ceinture de sécurité ","Indemne","Autre","Deux véhicules - Frontale"
200900009392,"A01",764281,"2009-06-27 16:30:00","PARIS 11","75111",48.8584,2.3795,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1948","75","1","Utilisation d'une ceinture de sécurité ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900009394,"A01",764285,"2009-06-27 18:30:00","PARIS 08","75108",48.8722,2.3124,"VU seul 1,5T <= PTAC <= 3,5T avec ou sans remorque ","En agglomération","Normale","Plein jour","Normale","Intersection en T","1986","37","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009411,"A01",764328,"2009-06-28 09:10:00","PARIS 12","75112",48.8352,2.4458,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en T","1978","45","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900009445,"A01",764396,"2009-06-29 14:50:00","PARIS 14","75114",48.8296,2.3267,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1963","60","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900009462,"A01",764433,"2009-06-29 20:50:00","PARIS 18","75118",48.8925,2.3444,"VU seul 1,5T <= PTAC <= 3,5T avec ou sans remorque ","En agglomération","Normale","Plein jour","Normale","Hors intersection","1969","54","1","Utilisation d'une ceinture de sécurité ","Indemne","Utilisation professionnelle","Deux véhicules - Frontale"
200900009490,"A01",764487,"2009-06-30 20:10:00","PARIS 19","75119",48.8817,2.3834,"VU seul 1,5T <= PTAC <= 3,5T avec ou sans remorque ","En agglomération","Normale","Plein jour","Normale","Intersection en Y","1987","36","1","Utilisation d'une ceinture de sécurité ","Indemne","Domicile – travail","Deux véhicules - Frontale"
200900009490,"B01",764488,"2009-06-30 20:10:00","PARIS 19","75119",48.8817,2.3834,"Cyclomoteur <50cm3","En agglomération","Normale","Plein jour","Normale","Intersection en Y","1985","38","1","Utilisation d'un casque ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900012539,"A01",771302,"2009-07-10 16:25:00","PARIS 06","75106",48.8493,2.3324,"Scooter > 125 cm3","En agglomération","Normale","Plein jour","Normale","Intersection en T","1964","59","1","Utilisation d'un casque ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900012564,"B01",771351,"2009-07-12 03:15:00","PARIS 17","75117",48.8872,2.3075,"VL seul","En agglomération","Pluie légère","Nuit avec éclairage public allumé","Mouillée","Intersection en X","1987","36","1","Utilisation d'une ceinture de sécurité ","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900012753,"A01",771731,"2009-07-21 09:25:00","PARIS 12","75112",48.8352,2.4458,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1949","74","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900012903,"A01",772029,"2009-07-30 02:45:00","PARIS 08","75108",48.8722,2.3124,"VL seul","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1987","36","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Indemne","Promenade – loisirs","Deux véhicules - Frontale"
200900009239,"B01",763975,"2009-06-22 11:55:00","PARIS 18","75118",48.8925,2.3444,"Cyclomoteur <50cm3","En agglomération","Normale","Plein jour","Normale","Place","1973","50","1","Utilisation d'un casque ","Blessé hospitalisé","Domicile – travail","Deux véhicules - Frontale"
200900009285,"B01",764062,"2009-06-23 23:15:00","PARIS 14","75114",48.8296,2.3267,"Scooter < 50 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1987","36","2","Utilisation d'un casque ","Blessé hospitalisé","Promenade – loisirs","Deux véhicules - Frontale"
200900009376,"A01",764246,"2009-06-27 00:20:00","PARIS 11","75111",48.8584,2.3795,"Motocyclette > 50 cm3 et <= 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1965","58","1","Utilisation d'un casque ","Blessé hospitalisé","Autre","Deux véhicules - Frontale"
200900009469,"B01",764447,"2009-06-30 01:30:00","PARIS 06","75106",48.8493,2.3324,"Motocyclette > 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1967","56","2","Utilisation d'un casque ","Blessé hospitalisé","Promenade – loisirs","Deux véhicules - Frontale"
200900009469,"B01",764448,"2009-06-30 01:30:00","PARIS 06","75106",48.8493,2.3324,"Motocyclette > 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Intersection en X","1971","52","1","Utilisation d'un casque ","Blessé hospitalisé","Promenade – loisirs","Deux véhicules - Frontale"
200900008862,"A01",763218,"2009-06-05 06:30:00","PARIS 08","75108",48.8722,2.3124,"VL seul","En agglomération","Normale","Plein jour","Normale","Hors intersection","1973","50","1","Utilisation d'une ceinture de sécurité ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900008982,"A01",763459,"2009-06-11 15:15:00","PARIS 02","75102",48.8691,2.3473,"VL seul","En agglomération","Normale","Plein jour","Normale","Intersection en X","1972","51","1","Présence d'une ceinture de sécurité - Utilisation non déterminable","Blessé léger","Domicile – travail","Deux véhicules - Frontale"
200900009155,"A01",763813,"2009-06-18 15:15:00","PARIS 09","75109",48.876,2.3375,"Scooter > 50 cm3 et <= 125 cm3","En agglomération","Normale","Plein jour","Normale","Intersection en X","1984","39","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900009185,"B01",763869,"2009-06-19 22:10:00","PARIS 11","75111",48.8584,2.3795,"Motocyclette > 50 cm3 et <= 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1977","46","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900009185,"B01",763870,"2009-06-19 22:10:00","PARIS 11","75111",48.8584,2.3795,"Motocyclette > 50 cm3 et <= 125 cm3","En agglomération","Normale","Nuit avec éclairage public allumé","Normale","Hors intersection","1980","43","2","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
200900009211,"B01",763918,"2009-06-20 20:10:00","PARIS 13","75113",48.8283,2.3627,"Scooter > 50 cm3 et <= 125 cm3","En agglomération","Normale","Plein jour","Normale","Intersection en X","1984","39","1","Utilisation d'un casque ","Blessé léger","Promenade – loisirs","Deux véhicules - Frontale"
